iter	Passed	Remaining
460	786	919
461	787	917
462	788	914
463	790	912
464	791	910
465	792	908
466	793	905
467	795	903
468	796	901
469	797	899
470	799	897
471	800	895
472	801	893
473	803	891
474	804	888
475	805	887
476	806	884
477	808	882
478	809	880
479	810	878
480	812	876
481	813	874
482	814	872
483	816	869
484	817	867
485	818	865
486	820	863
487	821	861
488	822	859
489	824	857
490	825	855
491	826	853
492	828	851
493	829	849
494	830	847
495	832	845
496	833	843
497	834	841
498	836	839
499	837	837
500	838	835
501	839	832
502	840	830
503	842	828
504	843	826
505	844	824
506	846	822
507	847	820
508	848	818
509	850	817
510	851	815
511	853	813
512	854	811
513	855	808
514	856	806
515	857	804
516	859	802
517	860	800
518	861	798
519	862	796
520	864	794
521	866	793
522	867	790
523	868	788
524	869	786
525	870	784
526	872	782
527	873	780
528	874	778
529	876	776
530	877	774
531	878	772
532	879	770
533	881	769
534	882	766
535	883	764
536	884	762
537	885	760
538	887	758
539	888	756
540	889	754
541	890	752
542	892	751
543	894	749
544	896	748
545	897	746
546	899	744
547	900	742
548	902	741
549	903	739
550	904	737
551	905	735
552	906	733
553	908	731
554	909	729
555	910	727
556	912	725
557	913	723
558	915	721
559	916	720
560	918	718
561	919	716
562	920	714
563	921	712
564	923	710
565	924	708
566	925	707
567	927	705
568	928	703
569	929	701
570	931	699
571	932	697
572	933	695
573	934	693
574	936	692
575	937	690
576	938	688
577	940	686
578	941	684
579	943	682
580	944	681
581	945	679
582	946	677
583	948	675
584	949	673
585	950	671
586	951	669
587	953	667
588	954	666
589	956	664
590	957	662
591	959	661
592	960	659
593	961	657
594	963	655
595	964	653
596	966	652
597	967	650
598	969	648
599	970	647
600	972	645
601	973	643
602	974	641
603	976	639
604	977	638
605	978	636
606	979	634
607	980	632
608	982	630
609	983	628
610	985	627
611	986	625
612	988	623
613	989	622
614	990	620
615	991	618
616	993	616
617	994	614
618	996	613
619	997	611
620	998	609
621	999	607
622	1001	605
623	1002	603
624	1003	602
625	1004	600
626	1005	598
627	1007	596
628	1008	594
629	1009	593
630	1011	591
631	1012	589
632	1013	587
633	1015	585
634	1016	584
635	1017	582
636	1018	580
637	1019	578
638	1020	576
639	1022	574
640	1023	573
641	1024	571
642	1025	569
643	1027	567
644	1028	566
645	1029	564
646	1031	562
647	1032	560
648	1033	558
649	1034	557
650	1035	555
651	1037	553
652	1038	551
653	1039	550
654	1041	548
655	1042	546
656	1043	544
657	1045	543
658	1047	541
659	1048	540
660	1049	538
661	1050	536
662	1052	534
663	1053	533
664	1055	531
665	1056	529
666	1057	528
667	1058	526
668	1060	524
669	1061	523
670	1063	521
671	1064	519
672	1065	517
673	1066	516
674	1068	514
675	1069	512
676	1070	510
677	1071	509
678	1073	507
679	1074	505
680	1076	504
681	1077	502
682	1078	500
683	1079	498
684	1081	497
685	1082	495
686	1083	493
687	1085	492
688	1086	490
689	1087	488
690	1089	487
691	1091	485
692	1092	483
693	1093	482
694	1094	480
695	1095	478
696	1097	477
697	1098	475
698	1099	473
699	1101	471
700	1102	470
701	1103	468
702	1105	467
703	1106	465
704	1107	463
705	1109	461
706	1110	460
707	1111	458
708	1112	456
709	1114	455
710	1115	453
711	1117	451
712	1118	450
713	1120	448
714	1121	446
715	1122	445
716	1123	443
717	1124	441
718	1126	440
719	1127	438
720	1128	436
721	1129	435
722	1131	433
723	1132	431
724	1134	430
725	1136	428
726	1137	427
727	1138	425
728	1139	423
729	1141	422
730	1142	420
731	1143	418
732	1145	417
733	1146	415
734	1147	413
735	1149	412
736	1150	410
737	1152	409
738	1153	407
739	1154	405
740	1155	403
741	1157	402
742	1158	400
743	1159	399
744	1161	397
745	1162	395
746	1163	394
747	1165	392
748	1166	390
749	1167	389
750	1169	387
751	1170	385
752	1171	384
753	1172	382
754	1174	381
755	1175	379
756	1177	377
757	1178	376
758	1181	375
759	1182	373
760	1183	371
761	1184	370
762	1186	368
763	1187	366
764	1188	365
765	1190	363
766	1191	361
767	1192	360
768	1193	358
769	1195	357
770	1196	355
771	1197	353
772	1199	352
773	1200	350
774	1201	348
775	1203	347
776	1204	345
777	1205	344
778	1206	342
779	1208	340
780	1209	339
781	1210	337
782	1212	335
783	1213	334
784	1214	332
785	1215	331
786	1217	329
787	1218	327
788	1220	326
789	1221	324
790	1222	323
791	1224	321
792	1225	319
793	1226	318
794	1228	316
795	1229	315
796	1231	313
797	1232	312
798	1234	310
799	1235	308
800	1236	307
801	1237	305
802	1239	303
803	1240	302
804	1242	300
805	1243	299
806	1244	297
807	1246	296
808	1247	294
809	1248	292
810	1250	291
811	1251	289
812	1252	288
813	1254	286
814	1255	285
815	1257	283
816	1258	281
817	1259	280
818	1261	278
819	1263	277
820	1264	275
821	1266	274
822	1267	272
823	1268	270
824	1270	269
825	1271	267
826	1273	266
827	1274	264
828	1276	263
829	1277	261
830	1279	260
831	1280	258
832	1281	256
833	1283	255
834	1284	253
835	1285	252
836	1287	250
837	1288	249
838	1290	247
839	1291	245
840	1292	244
841	1294	242
842	1296	241
843	1297	239
844	1300	238
845	1302	237
846	1304	235
847	1305	234
848	1307	232
849	1309	231
850	1310	229
851	1311	227
852	1313	226
853	1316	225
854	1318	223
855	1319	222
856	1321	220
857	1322	218
858	1323	217
859	1325	215
860	1326	214
861	1327	212
862	1329	211
863	1331	209
864	1332	207
865	1334	206
866	1335	204
867	1336	203
868	1338	201
869	1339	200
870	1341	198
